024,30,19794667122645,20617963290,0,0,"(nan, nan)","(nan, nan)",0,0,nan,nan,"(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)"
024,30,19794667314311,20618154960,1,1,"(0.340896338224411, 0.2921631336212158)","(0.35587406158447266, 0.31132400035858154)",1,1,2.3079071044921875,2.3661956787109375,"(-52.724700927734375, -54.298702239990234, 662.8394775390625)","(2.2116446495056152, -49.20429229736328, 653.5557250976562)","(-81.88839721679688, 231.8306884765625, 73.73767852783203)","(-74.16690826416016, 226.02926635742188, 71.6260986328125)"
024,30,19794667322649,20618163298,1,1,"(0.3304419219493866, 0.281754732131958)","(0.3506220281124115, 0.2873463034629822)",1,1,2.3138427734375,2.4067230224609375,"(-52.74638748168945, -54.232975006103516, 662.67578125)","(2.158320188522339, -49.16627502441406, 653.2144775390625)","(-87.27796173095703, 234.98207092285156, 74.88470458984375)","(-76.87450408935547, 233.28909301757812, 74.26851654052734)"
024,30,19794667330982,20618171631,1,1,"(0.3255364000797272, 0.2507253587245941)","(0.3526732921600342, 0.26336389780044556)",1,1,2.3137664794921875,2.391845703125,"(-52.730262756347656, -54.263031005859375, 662.987548828125)","(2.1571552753448486, -49.15576934814453, 653.2613525390625)","(-89.8069076538086, 244.37698364257812, 78.30416870117188)","(-75.81700134277344, 240.5503692626953, 76.91133117675781)"
024,30,19794667339316,20618179965,1,1,"(0.32690221071243286, 0.2567234933376312)","(0.3440716862678528, 0.25439929962158203)",1,1,2.3311309814453125,2.3904571533203125,"(-52.69757843017578, -54.24942398071289, 662.9434814453125)","(2.173560857772827, -49.169776916503906, 653.390869140625)","(-89.102783203125, 242.5609130859375, 77.6431655883789)","(-80.25140380859375, 243.26463317871094, 77.89924621582031)"
024,30,19794667347649,20618188298,1,1,"(0.3299564719200134, 0.2536030113697052)","(0.34838253259658813, 0.2587318420410156)",1,1,2.3001861572265625,2.3812713623046875,"(-52.689186096191406, -54.2635498046875, 663.0060424804688)","(2.1686182022094727, -49.18539047241211, 653.3909912109375)","(-87.52822875976562, 243.5056915283203, 77.98707580566406)","(-78.02903747558594, 241.9528350830078, 77.42180633544922)"
024,30,19794667355982,20618196632,1,1,"(0.33165863156318665, 0.23993849754333496)","(0.346388578414917, 0.2618383765220642)",1,1,2.2979278564453125,2.403839111328125,"(-52.713951110839844, -54.30337905883789, 663.1873168945312)","(2.1718220710754395, -49.20442581176758, 653.4498291015625)","(-86.65069580078125, 247.6429901123047, 79.49285125732422)","(-79.0569839477539, 241.01226806640625, 77.07947540283203)"
024,30,19794667364315,20618204965,1,1,"(0.3311610817909241, 0.2474498152732849)","(0.3381054997444153, 0.25890684127807617)",1,1,2.3249359130859375,2.41864013671875,"(-52.72450256347656, -54.32372283935547, 663.1976318359375)","(2.166034698486328, -49.217071533203125, 653.4613037109375)","(-86.90718841552734, 245.36874389648438, 78.66511535644531)","(-83.3271484375, 241.8998260498047, 77.40252685546875)"
024,30,19794667372648,20618213298,1,1,"(0.33668842911720276, 0.24497489631175995)","(0.3400915563106537, 0.2617553770542145)",1,1,2.3313140869140625,2.4157562255859375,"(-52.73271942138672, -54.32567596435547, 663.1713256835938)","(2.1575396060943604, -49.22354507446289, 653.4019775390625)","(-84.05770111083984, 246.11810302734375, 78.93783569335938)","(-82.30326080322266, 241.03736877441406, 77.08863830566406)"
024,30,19794667380982,20618221632,1,1,"(0.3335403501987457, 0.23561720550060272)","(0.3445887863636017, 0.26300299167633057)",1,1,2.314300537109375,2.4176483154296875,"(-52.74223327636719, -54.33164596557617, 663.0960693359375)","(2.1459412574768066, -49.22579574584961, 653.283935546875)","(-85.68061828613281, 248.95135498046875, 79.96907043457031)","(-79.98483276367188, 240.65963745117188, 76.95113372802734)"
024,30,19794667389315,20618229965,1,1,"(0.32672467827796936, 0.2489609718322754)","(0.33974093198776245, 0.26332539319992065)",1,1,2.3368377685546875,2.419525146484375,"(-52.747554779052734, -54.31537628173828, 662.910400390625)","(2.1359171867370605, -49.212791442871094, 653.107177734375)","(-89.19430541992188, 244.9112091064453, 78.49858093261719)","(-82.48402404785156, 240.56201171875, 76.91561889648438)"
024,30,19794667397648,20618238298,1,1,"(0.32874274253845215, 0.24498817324638367)","(0.33931490778923035, 0.26780965924263)",1,1,2.343902587890625,2.426239013671875,"(-52.75119400024414, -54.29465103149414, 662.7127685546875)","(2.129850387573242, -49.20597457885742, 653.0011596679688)","(-88.15391540527344, 246.1140899658203, 78.93636322021484)","(-82.70366668701172, 239.2042999267578, 76.42142486572266)"
024,30,19794667405982,20618246632,1,1,"(0.33328765630722046, 0.2407146394252777)","(0.3363839089870453, 0.26482194662094116)",1,1,2.327728271484375,2.4195404052734375,"(-52.76307678222656, -54.28955078125, 662.6369018554688)","(2.124239206314087, -49.21073913574219, 653.0369262695312)","(-85.81088256835938, 247.40798950195312, 79.40731048583984)","(-84.21467590332031, 240.10888671875, 76.75069427490234)"
024,30,19794667414314,20618254965,1,1,"(0.3353902995586395, 0.24272885918617249)","(0.3416197896003723, 0.26142990589141846)",1,1,2.3073883056640625,2.419158935546875,"(-52.76848220825195, -54.278160095214844, 662.5992431640625)","(2.1223337650299072, -49.211158752441406, 653.025146484375)","(-84.72692108154297, 246.7981414794922, 79.18536376953125)","(-81.51541137695312, 241.13592529296875, 77.1244888305664)"
024,30,19794667422647,20618263298,1,1,"(0.33378422260284424, 0.2500757873058319)","(0.3388018012046814, 0.26470091938972473)",1,1,2.34051513671875,2.4227142333984375,"(-52.768558502197266, -54.27976989746094, 662.599365234375)","(2.1267852783203125, -49.213680267333984, 653.060302734375)","(-85.55491638183594, 244.5736846923828, 78.37569427490234)","(-82.96819305419922, 240.14556884765625, 76.76397705078125)"
024,30,19794667430980,20618271631,1,1,"(0.3325037956237793, 0.25282758474349976)","(0.3344292938709259, 0.26619720458984375)",1,1,2.344268798828125,2.42431640625,"(-52.760189056396484, -54.28319549560547, 662.6251831054688)","(2.133359432220459, -49.22654724121094, 653.1538696289062)","(-86.21502685546875, 243.740478515625, 78.0724868774414)","(-85.22235107421875, 239.6925048828125, 76.59915161132812)"
024,30,19794667439314,20618279965,1,1,"(0.3265077471733093, 0.24704867601394653)","(0.3421575427055359, 0.2641010582447052)",1,1,2.3356781005859375,2.4312591552734375,"(-52.749263763427734, -54.28681945800781, 662.6881713867188)","(2.140599250793457, -49.228309631347656, 653.1893310546875)","(-89.30613708496094, 245.4901885986328, 78.70933532714844)","(-81.23818969726562, 240.3271484375, 76.83013916015625)"
024,30,19794667447652,20618288303,1,1,"(0.32887542247772217, 0.23917700350284576)","(0.34030821919441223, 0.26365238428115845)",1,1,2.3212432861328125,2.432525634765625,"(-52.74663543701172, -54.31634521484375, 662.8735961914062)","(2.15712833404541, -49.24030303955078, 653.2357177734375)","(-88.08554077148438, 247.87355041503906, 79.5767822265625)","(-82.19157409667969, 240.4630126953125, 76.87958526611328)"
024,30,19794667455986,20618296637,1,1,"(0.3309166431427002, 0.24131253361701965)","(0.33765947818756104, 0.2619644105434418)",1,1,2.3309478759765625,2.42095947265625,"(-52.7324333190918, -54.33123779296875, 663.0112915039062)","(2.1874654293060303, -49.25384521484375, 653.294921875)","(-87.03321838378906, 247.2269744873047, 79.34142303466797)","(-83.55707550048828, 240.97409057617188, 77.06559753417969)"
024,30,19794667464318,20618304970,1,1,"(0.3314869999885559, 0.23862908780574799)","(0.33830657601356506, 0.2638324797153473)",1,1,2.320587158203125,2.424774169921875,"(-52.710411071777344, -54.33466339111328, 663.002685546875)","(2.215794086456299, -49.259674072265625, 653.3892822265625)","(-86.73919677734375, 248.03944396972656, 79.63716888427734)","(-83.22346496582031, 240.40847778320312, 76.85973358154297)"
024,30,19794667472651,20618313303,1,1,"(0.3236626982688904, 0.248077854514122)","(0.331631064414978, 0.2601759135723114)",1,1,2.363128662109375,2.433380126953125,"(-52.72072982788086, -54.33723449707031, 662.9393310546875)","(2.1815710067749023, -49.2403450012207, 653.306640625)","(-90.7728271484375, 245.1785888671875, 78.59588623046875)","(-86.6649169921875, 241.51560974121094, 77.26266479492188)"
024,30,19794667480984,20618321636,1,1,"(0.2820873260498047, 0.252060204744339)","(0.28791967034339905, 0.25315985083580017)",1,1,2.394287109375,2.457305908203125,"(-52.81947326660156, -54.296974182128906, 662.810546875)","(2.0732505321502686, -49.22223663330078, 653.001708984375)","(-112.20619201660156, 243.97283935546875, 78.15705871582031)","(-109.19944763183594, 243.63987731933594, 78.03585052490234)"
